Time (s),Distance (mm)
0.0,2042
0.116917,2045
0.214146,2052
0.310085,2046
0.42237,2049
0.504026,2040
0.601141,2056
0.698128,2046
0.800164,2048
0.892051,2049
1.0011,2053
1.086707,2048
1.183245,2053
1.292933,2056
1.377124,2057
1.492534,2039
1.570705,2048
1.668942,2048
1.766376,2048
1.86335,2049
1.960682,2046
2.057647,2050
2.154001,2049
2.250182,2055
2.347298,2048
2.444584,2048
2.541255,2055
2.639256,2050
2.735194,2058
2.83221,2044
2.929496,2045
3.026179,2051
3.123928,2048
3.220258,2052
3.317423,2048
3.417089,2052
3.51158,2048
3.608759,2053
3.705717,2050
3.802873,2046
3.900252,2044
3.996562,2047
4.094164,2046
4.19015,2051
4.287185,2056
4.385195,2051
4.481312,2047
4.579392,2046
4.675421,2051
4.773348,2041
4.86997,551
4.966537,144
5.06699,179
5.16663,435
5.265171,600
5.360138,1080
5.457149,1913
5.554162,2020
5.651704,2033
5.748534,2032
5.8484,2030
5.942819,2053
6.039906,2054
6.137461,2052
6.233313,2046
6.330321,2053
6.427999,2038
6.524834,2058
6.621739,2053
6.718858,2046
6.816314,2047
6.914756,2054
7.009846,2049
7.107272,2044
7.204333,2049
7.300238,2052
7.397159,2058
7.494851,2052
7.591557,2049
7.689602,2048
7.785026,2046
7.882381,2051
7.979301,2056
8.076222,2049
8.173297,2051
8.271189,2041
8.367495,2059
8.46433,2048
8.562836,2048
8.658837,2052
8.755117,2052
8.852763,2047
8.949517,2052
9.046018,2051
9.142776,2051
9.240114,2044
9.337249,2050
9.433923,2051
9.552408,2049
9.627833,2053
9.725983,2049
9.823146,2047
9.919251,2041
10.016191,2045
